day,month,year,hour,weekday,quarter,timestamp,day_mean,day_std,month_mean,month_std,year_mean,year_std,hour_mean,hour_std,quarter_mean,quarter_std
16,9,2025,2,1,3,2025-09-16 02:35:00,19.5,4.041451884327381,9.0,0.0,2025.0,0.0,9.0,8.082903768654761,3.0,0.0
16,9,2025,16,1,3,2025-09-16 16:35:00,19.5,4.041451884327381,9.0,0.0,2025.0,0.0,9.0,8.082903768654761,3.0,0.0
17,9,2025,6,2,3,2025-09-17 06:35:00,19.333333333333332,4.041451884327381,9.0,0.0,2025.0,0.0,10.666666666666666,8.082903768654761,3.0,0.0
17,9,2025,20,2,3,2025-09-17 20:35:00,19.333333333333332,4.041451884327381,9.0,0.0,2025.0,0.0,10.666666666666666,8.082903768654761,3.0,0.0
18,9,2025,10,3,3,2025-09-18 10:35:00,18.0,,9.0,,2025.0,,10.0,,3.0,
19,9,2025,0,4,3,2025-09-19 00:35:00,19.0,0.0,9.0,0.0,2025.0,0.0,7.0,9.899494936611665,3.0,0.0
19,9,2025,14,4,3,2025-09-19 14:35:00,19.0,0.0,9.0,0.0,2025.0,0.0,7.0,9.899494936611665,3.0,0.0
20,9,2025,4,5,3,2025-09-20 04:35:00,20.0,0.0,9.0,0.0,2025.0,0.0,11.0,9.899494936611665,3.0,0.0
20,9,2025,18,5,3,2025-09-20 18:35:00,20.0,0.0,9.0,0.0,2025.0,0.0,11.0,9.899494936611665,3.0,0.0
21,9,2025,8,6,3,2025-09-21 08:35:00,21.0,0.0,9.0,0.0,2025.0,0.0,15.0,9.899494936611665,3.0,0.0
21,9,2025,22,6,3,2025-09-21 22:35:00,21.0,0.0,9.0,0.0,2025.0,0.0,15.0,9.899494936611665,3.0,0.0
22,9,2025,12,0,3,2025-09-22 12:35:00,22.0,,9.0,,2025.0,,12.0,,3.0,
23,9,2025,2,1,3,2025-09-23 02:35:00,19.5,4.041451884327381,9.0,0.0,2025.0,0.0,9.0,8.082903768654761,3.0,0.0
23,9,2025,16,1,3,2025-09-23 16:35:00,19.5,4.041451884327381,9.0,0.0,2025.0,0.0,9.0,8.082903768654761,3.0,0.0
24,9,2025,6,2,3,2025-09-24 06:35:00,19.333333333333332,4.041451884327381,9.0,0.0,2025.0,0.0,10.666666666666666,8.082903768654761,3.0,0.0
